19:53:25: Executing task 'Main.main()'...

> Task :compileJava
> Task :processResources NO-SOURCE
> Task :classes

> Task :Main.main()

№    size            threshold       cycle        fork/join    is better?  %
38   2 500           25              0,0000376    0,0004454    false       1084,6 %
39   2 500           50              0,0000376    0,0003606    false       859,0 %
40   2 500           75              0,0000381    0,0005420    false       1322,6 %
41   2 500           100             0,0000379    0,0001717    false       353,0 %
42   2 500           250             0,0000376    0,0001974    false       425,0 %
43   2 500           500             0,0000393    0,0001615    false       310,9 %
44   2 500           750             0,0000378    0,0001116    false       195,2 %
45   2 500           1 000           0,0001962    0,0001150    true        -41,4 %
46   5 000           10              0,0000753    0,0025018    false       3222,4 %
47   5 000           25              0,0000804    0,0005564    false       592,0 %
48   5 000           50              0,0000779    0,0008135    false       944,3 %
49   5 000           75              0,0000747    0,0003556    false       376,0 %
50   5 000           100             0,0000742    0,0002469    false       232,7 %
51   5 000           250             0,0001038    0,0001932    false       86,1 %
52   5 000           500             0,0000785    0,0001744    false       122,2 %
53   5 000           750             0,0002272    0,0001671    true        -26,5 %
54   5 000           1 000           0,0000863    0,0005043    false       484,4 %
55   5 000           2 500           0,0000113    0,0000934    false       726,5 %
56   7 500           10              0,0000770    0,0010703    false       1290,0 %
57   7 500           25              0,0000585    0,0013911    false       2277,9 %
58   7 500           50              0,0001088    0,0003626    false       233,3 %
59   7 500           75              0,0000609    0,0003047    false       400,3 %
60   7 500           100             0,0000602    0,0002388    false       296,7 %
61   7 500           250             0,0000785    0,0001522    false       93,9 %
62   7 500           500             0,0000595    0,0001460    false       145,4 %
63   7 500           750             0,0000567    0,0001446    false       155,0 %
64   7 500           1 000           0,0001027    0,0001660    false       61,6 %
65   7 500           2 500           0,0000170    0,0001066    false       527,1 %
66   7 500           5 000           0,0020837    0,0000881    true        -95,8 %
67   10 000          10              0,0000043    0,0011113    false       25744,2 %
68   10 000          25              0,0000037    0,0003173    false       8475,7 %
69   10 000          50              0,0000036    0,0005160    false       14233,3 %
70   10 000          75              0,0000037    0,0002211    false       5875,7 %
71   10 000          100             0,0000040    0,0002017    false       4942,5 %
72   10 000          250             0,0000036    0,0006429    false       17758,3 %
73   10 000          500             0,0000037    0,0008024    false       21586,5 %
74   10 000          750             0,0000037    0,0001076    false       2808,1 %
75   10 000          1 000           0,0000048    0,0006979    false       14439,6 %
76   10 000          2 500           0,0000048    0,0002016    false       4100,0 %
77   10 000          5 000           0,0000036    0,0001186    false       3194,4 %
78   10 000          7 500           0,0000036    0,0000755    false       1997,2 %
79   25 000          10              0,0000084    0,0006255    false       7346,4 %
80   25 000          25              0,0000088    0,0004384    false       4881,8 %
81   25 000          50              0,0000090    0,0001481    false       1545,6 %
82   25 000          75              0,0000085    0,0001409    false       1557,6 %
83   25 000          100             0,0000088    0,0001158    false       1215,9 %
84   25 000          250             0,0000093    0,0001140    false       1125,8 %
85   25 000          500             0,0000083    0,0000708    false       753,0 %
86   25 000          750             0,0000086    0,0000670    false       679,1 %
87   25 000          1 000           0,0000095    0,0001450    false       1426,3 %
88   25 000          2 500           0,0000097    0,0002530    false       2508,2 %
89   25 000          5 000           0,0000084    0,0000951    false       1032,1 %
90   25 000          7 500           0,0000090    0,0001131    false       1156,7 %
91   25 000          10 000          0,0000091    0,0001600    false       1658,2 %
92   50 000          10              0,0000178    0,0008898    false       4898,9 %
93   50 000          25              0,0000338    0,0005427    false       1505,6 %
94   50 000          50              0,0000183    0,0003224    false       1661,7 %
95   50 000          75              0,0000188    0,0002453    false       1204,8 %
96   50 000          100             0,0000160    0,0001613    false       908,1 %
