8:30:24: Executing task 'Main.main()'...

> Task :compileJava
> Task :processResources NO-SOURCE
> Task :classes

> Task :Main.main()

№    size            threshold       cycle        fork/join    is better?  %
179  750 000         750             0,0003144    0,0003666    false       16,6 %
180  750 000         1 000           0,0002385    0,0003482    false       46,0 %
181  750 000         2 500           0,0003134    0,0003341    false        6,6 %
182  750 000         5 000           0,0002491    0,0003339    false       34,0 %
183  750 000         7 500           0,0002514    0,0002511    true        -0,1 %
184  750 000         10 000          0,0002412    0,0004011    false       66,3 %
185  750 000         25 000          0,0002422    0,0002459    false        1,5 %
186  750 000         50 000          0,0002781    0,0002746    true        -1,3 %
187  750 000         75 000          0,0002497    0,0003615    false       44,8 %
188  750 000         100 000         0,0002449    0,0003136    false       28,1 %
189  750 000         250 000         0,0002716    0,0003010    false       10,8 %
190  750 000         500 000         0,0002518    0,0002756    false        9,5 %
191  1 000 000       10              0,0003213    0,0104429    false       3150,2 %
192  1 000 000       25              0,0003655    0,0049028    false       1241,4 %
193  1 000 000       50              0,0003931    0,0030680    false       680,5 %
194  1 000 000       75              0,0003442    0,0014303    false       315,5 %
195  1 000 000       100             0,0003321    0,0015566    false       368,7 %
196  1 000 000       250             0,0004844    0,0009580    false       97,8 %
197  1 000 000       500             0,0003753    0,0005308    false       41,4 %
198  1 000 000       750             0,0003259    0,0009199    false       182,3 %
199  1 000 000       1 000           0,0003389    0,0004655    false       37,4 %
200  1 000 000       2 500           0,0003822    0,0003758    true        -1,7 %
201  1 000 000       5 000           0,0003718    0,0004617    false       24,2 %
202  1 000 000       7 500           0,0003952    0,0003678    true        -6,9 %
203  1 000 000       10 000          0,0003372    0,0003495    false        3,6 %
204  1 000 000       25 000          0,0003291    0,0003252    true        -1,2 %
205  1 000 000       50 000          0,0004565    0,0003414    true        -25,2 %
206  1 000 000       75 000          0,0003225    0,0003213    true        -0,4 %
207  1 000 000       100 000         0,0003242    0,0003710    false       14,4 %
208  1 000 000       250 000         0,0003528    0,0003159    true        -10,5 %
209  1 000 000       500 000         0,0003525    0,0003368    true        -4,5 %
210  1 000 000       750 000         0,0003657    0,0003368    true        -7,9 %
211  2 500 000       10              0,0008632    0,0289927    false       3258,7 %
212  2 500 000       25              0,0008872    0,0043640    false       391,9 %
213  2 500 000       50              0,0009208    0,0025854    false       180,8 %
214  2 500 000       75              0,0009288    0,0026591    false       186,3 %
215  2 500 000       100             0,0008496    0,0015673    false       84,5 %
216  2 500 000       250             0,0009135    0,0015999    false       75,1 %
217  2 500 000       500             0,0009830    0,0014294    false       45,4 %
218  2 500 000       750             0,0008393    0,0011106    false       32,3 %
219  2 500 000       1 000           0,0009116    0,0008498    true        -6,8 %
220  2 500 000       2 500           0,0010626    0,0007404    true        -30,3 %
221  2 500 000       5 000           0,0009073    0,0013247    false       46,0 %
222  2 500 000       7 500           0,0008176    0,0007466    true        -8,7 %
223  2 500 000       10 000          0,0009196    0,0008097    true        -12,0 %
224  2 500 000       25 000          0,0009185    0,0007234    true        -21,2 %
225  2 500 000       50 000          0,0008454    0,0007078    true        -16,3 %
226  2 500 000       75 000          0,0010407    0,0006208    true        -40,3 %
227  2 500 000       100 000         0,0008480    0,0007574    true        -10,7 %
228  2 500 000       250 000         0,0008554    0,0010182    false       19,0 %
229  2 500 000       500 000         0,0008159    0,0009957    false       22,0 %
230  2 500 000       750 000         0,0008001    0,0008672    false        8,4 %
231  2 500 000       1 000 000       0,0008643    0,0008208    true        -5,0 %
232  5 000 000       10              0,0017687    0,0663950    false       3653,9 %
233  5 000 000       25              0,0019910    0,0220621    false       1008,1 %
234  5 000 000       50              0,0016190    0,0115315    false       612,3 %
235  5 000 000       75              0,0016201    0,0074431    false       359,4 %
236  5 000 000       100             0,0016003    0,0029960    false       87,2 %
237  5 000 000       250             0,0016859    0,0022353    false       32,6 %
238  5 000 000       500             0,0017008    0,0015855    true        -6,8 %
239  5 000 000       750             0,0016986    0,0013688    true        -19,4 %
240  5 000 000       1 000           0,0016072    0,0013322    true        -17,1 %
241  5 000 000       2 500           0,0019124    0,0013254    true        -30,7 %
242  5 000 000       5 000           0,0018557    0,0014312    true        -22,9 %
243  5 000 000       7 500           0,0016522    0,0014724    true        -10,9 %
244  5 000 000       10 000          0,0016876    0,0013122    true        -22,2 %
245  5 000 000       25 000          0,0016911    0,0012201    true        -27,9 %
246  5 000 000       50 000          0,0019296    0,0012049    true        -37,6 %
247  5 000 000       75 000          0,0016822    0,0011789    true        -29,9 %
248  5 000 000       100 000         0,0016830    0,0012188    true        -27,6 %
249  5 000 000       250 000         0,0016396    0,0012238    true        -25,4 %
250  5 000 000       500 000         0,0016861    0,0010781    true        -36,1 %
251  5 000 000       750 000         0,0016817    0,0011584    true        -31,1 %
252  5 000 000       1 000 000       0,0017054    0,0012052    true        -29,3 %
253  5 000 000       2 500 000       0,0016562    0,0015168    true        -8,4 %
254  7 500 000       10              0,0028299    0,0742551    false       2523,9 %
255  7 500 000       25              0,0027669    0,0340152    false       1129,4 %
256  7 500 000       50              0,0029982    0,0096147    false       220,7 %
257  7 500 000       75              0,0026387    0,0056481    false       114,0 %
258  7 500 000       100             0,0026174    0,0055802    false       113,2 %
259  7 500 000       250             0,0027058    0,0023547    true        -13,0 %
260  7 500 000       500             0,0025841    0,0018937    true        -26,7 %
261  7 500 000       750             0,0025741    0,0018852    true        -26,8 %
262  7 500 000       1 000           0,0025172    0,0018621    true        -26,0 %
263  7 500 000       2 500           0,0024962    0,0016677    true        -33,2 %
264  7 500 000       5 000           0,0026141    0,0017426    true        -33,3 %
265  7 500 000       7 500           0,0025193    0,0018119    true        -28,1 %
266  7 500 000       10 000          0,0024903    0,0015997    true        -35,8 %
267  7 500 000       25 000          0,0025394    0,0016077    true        -36,7 %
268  7 500 000       50 000          0,0024993    0,0016484    true        -34,0 %
269  7 500 000       75 000          0,0025106    0,0018952    true        -24,5 %
270  7 500 000       100 000         0,0025188    0,0016527    true        -34,4 %
271  7 500 000       250 000         0,0024252    0,0016916    true        -30,2 %
272  7 500 000       500 000         0,0028195    0,0021943    true        -22,2 %
273  7 500 000       750 000         0,0024377    0,0017802    true        -27,0 %
274  7 500 000       1 000 000       0,0027099    0,0016768    true        -38,1 %
275  7 500 000       2 500 000       0,0028614    0,0020771    true        -27,4 %
276  7 500 000       5 000 000       0,0024778    0,0017834    true        -28,0 %
277  10 000 000      10              0,0034919    0,0644893    false       1746,8 %
278  10 000 000      25              0,0032608    0,0235596    false       622,5 %
279  10 000 000      50              0,0033378    0,0100789    false       202,0 %
280  10 000 000      75              0,0033024    0,0111656    false       238,1 %
281  10 000 000      100             0,0031955    0,0094715    false       196,4 %
282  10 000 000      250             0,0034266    0,0036761    false        7,3 %
283  10 000 000      500             0,0033512    0,0029348    true        -12,4 %
284  10 000 000      750             0,0033756    0,0023706    true        -29,8 %
285  10 000 000      1 000           0,0032764    0,0024898    true        -24,0 %
286  10 000 000      2 500           0,0032113    0,0026780    true        -16,6 %
287  10 000 000      5 000           0,0037357    0,0027163    true        -27,3 %
288  10 000 000      7 500           0,0034771    0,0022128    true        -36,4 %
289  10 000 000      10 000          0,0033429    0,0021176    true        -36,7 %
290  10 000 000      25 000          0,0032639    0,0022196    true        -32,0 %
291  10 000 000      50 000          0,0034987    0,0020118    true        -42,5 %
292  10 000 000      75 000          0,0033828    0,0021645    true        -36,0 %
293  10 000 000      100 000         0,0032625    0,0024983    true        -23,4 %
294  10 000 000      250 000         0,0036777    0,0025169    true        -31,6 %
295  10 000 000      500 000         0,0033635    0,0020628    true        -38,7 %
296  10 000 000      750 000         0,0033506    0,0022560    true        -32,7 %
297  10 000 000      1 000 000       0,0033864    0,0023684    true        -30,1 %
298  10 000 000      2 500 000       0,0034167    0,0023185    true        -32,1 %
299  10 000 000      5 000 000       0,0031899    0,0027453    true        -13,9 %
300  10 000 000      7 500 000       0,0033379    0,0024411    true        -26,9 %
301  25 000 000      10              0,0084472    0,1913398    false       2165,1 %
302  25 000 000      25              0,0083097    0,0405333    false       387,8 %
303  25 000 000      50              0,0102205    0,0210026    false       105,5 %
304  25 000 000      75              0,0080883    0,0213486    false       163,9 %
305  25 000 000      100             0,0084215    0,0249241    false       196,0 %
306  25 000 000      250             0,0083758    0,0089075    false        6,3 %
307  25 000 000      500             0,0079289    0,0066121    true        -16,6 %
308  25 000 000      750             0,0084383    0,0062167    true        -26,3 %
309  25 000 000      1 000           0,0088045    0,0057949    true        -34,2 %
310  25 000 000      2 500           0,0082430    0,0056227    true        -31,8 %
311  25 000 000      5 000           0,0084046    0,0053769    true        -36,0 %
312  25 000 000      7 500           0,0083506    0,0051010    true        -38,9 %
313  25 000 000      10 000          0,0085313    0,0050666    true        -40,6 %
314  25 000 000      25 000          0,0083631    0,0050437    true        -39,7 %
315  25 000 000      50 000          0,0084398    0,0051221    true        -39,3 %
316  25 000 000      75 000          0,0082717    0,0050581    true        -38,9 %
317  25 000 000      100 000         0,0087274    0,0051457    true        -41,0 %
318  25 000 000      250 000         0,0088128    0,0050659    true        -42,5 %
319  25 000 000      500 000         0,0084397    0,0048671    true        -42,3 %
320  25 000 000      750 000         0,0085407    0,0050416    true        -41,0 %
321  25 000 000      1 000 000       0,0120221    0,0054187    true        -54,9 %
322  25 000 000      2 500 000       0,0083507    0,0050387    true        -39,7 %
323  25 000 000      5 000 000       0,0089164    0,0053241    true        -40,3 %
324  25 000 000      7 500 000       0,0087994    0,0061218    true        -30,4 %
325  25 000 000      10 000 000      0,0082968    0,0059688    true        -28,1 %
326  50 000 000      10              0,0166696    0,3455662    false       1973,0 %
327  50 000 000      25              0,0164619    0,0800375    false       386,2 %
328  50 000 000      50              0,0173057    0,0418988    false       142,1 %
329  50 000 000      75              0,0170930    0,0431665    false       152,5 %
330  50 000 000      100             0,0172164    0,0238984    false       38,8 %
331  50 000 000      250             0,0168096    0,0150653    true        -10,4 %
332  50 000 000      500             0,0167351    0,0129002    true        -22,9 %
333  50 000 000      750             0,0167285    0,0125446    true        -25,0 %
334  50 000 000      1 000           0,0173115    0,0112470    true        -35,0 %
335  50 000 000      2 500           0,0168116    0,0105943    true        -37,0 %
336  50 000 000      5 000           0,0167690    0,0102264    true        -39,0 %
337  50 000 000      7 500           0,0166671    0,0098550    true        -40,9 %
